,agent,step,test_id,avg_reward,std_reward
0,ia2c,600,-1,-1107.7360079662355,1214.987343171334
1,ia2c,1200,-1,-311.9349270804011,435.0585742464098
2,ia2c,1800,-1,-129.3744557692045,195.4666337780115
3,ia2c,2400,-1,-358.79689510053294,501.413825010797
4,ia2c,3000,-1,-287.87067909201687,425.3039912853529
5,ia2c,3600,-1,-122.68363390742064,183.08296812864057
6,ia2c,3900,-1,-1614.9293065821541,1103.498654572408
7,ia2c,4500,-1,-137.46781213123936,212.34719094040327
8,ia2c,5100,-1,-371.1227074059016,523.9864207833983
9,ia2c,5700,-1,-274.4481160206688,407.84240482242114
10,ia2c,6300,-1,-478.2022907111153,664.8125846993587
11,ia2c,6900,-1,-58.31677166236472,89.42274189003815
12,ia2c,7500,-1,-338.3952978866396,497.6771531871974
13,ia2c,8100,-1,-144.6522886675909,202.25658153649871
14,ia2c,8700,-1,-152.12400403440427,213.1895437508069
15,ia2c,9300,-1,-142.2184333444867,197.53678709830544
16,ia2c,9900,-1,-472.47060353601313,573.439192151642
17,ia2c,10500,-1,-406.9745442308714,494.10892571379924
18,ia2c,11100,-1,-49.858456322398574,69.06801742921606
19,ia2c,11700,-1,-715.1981351271742,831.4391045885757
20,ia2c,12300,-1,-1289.4711847508627,790.9799279623182
21,ia2c,12900,-1,-1236.4147674226992,996.0142522353486
22,ia2c,13200,-1,-2114.900597659941,1088.1757284617195
23,ia2c,13800,-1,-1832.2306664919383,1522.3472549645612
24,ia2c,14400,-1,-1551.1241324647572,1502.924410243223
25,ia2c,15000,-1,-463.8783054315938,813.4024842356372
26,ia2c,15600,-1,-950.6292053718455,675.086928947326
27,ia2c,16200,-1,-1095.420289224561,1379.3565504039793
28,ia2c,16800,-1,-1120.2731779370624,1316.624093077804
29,ia2c,17160,-1,-1986.292011011592,829.7651003126036
30,ia2c,17760,-1,-882.0126199715783,1332.3543017715078
31,ia2c,18360,-1,-777.2770002027008,976.5913548173041
32,ia2c,18960,-1,-1003.9881193167257,1122.9409541532052
33,ia2c,19560,-1,-762.939102919697,1224.9750694245022
34,ia2c,20160,-1,-1880.4881323316092,1350.208681450196
35,ia2c,20760,-1,-1238.854737016563,1437.063870488841
36,ia2c,21360,-1,-929.3449011840205,1395.0523628387289
37,ia2c,21960,-1,-660.6107140245816,815.092224061415
38,ia2c,22560,-1,-1440.2401108168374,1020.0748388045345
39,ia2c,23160,-1,-443.04186859943275,619.5004164515202
40,ia2c,23460,-1,-1844.2758993542395,921.4440722116487
41,ia2c,24060,-1,-1429.2492539008165,666.9839246695674
42,ia2c,24660,-1,-1092.8201005419144,1304.9314943791933
43,ia2c,25260,-1,-1699.747141736963,1011.5796903969156
44,ia2c,25860,-1,-2020.7541850955024,1400.2813125635473
45,ia2c,26460,-1,-1595.4773201466346,1197.215709751214
46,ia2c,27060,-1,-793.3535723542135,1104.9086702155746
47,ia2c,27660,-1,-547.1992968966209,926.7514922098316
48,ia2c,28260,-1,-1452.2093621524587,1518.761569807429
49,ia2c,28860,-1,-960.9089251396277,1307.7193825047202
50,ia2c,29460,-1,-1461.0590344896034,1266.1393082059835
51,ia2c,30060,-1,-1113.17366087268,1396.4879156505433
52,ia2c,30660,-1,-1550.3651970445485,1318.7242076930281
53,ia2c,30960,-1,-1971.426989671832,782.4588053184303
54,ia2c,31560,-1,-1749.4772363534366,1091.0215448720314
55,ia2c,32160,-1,-984.1967202419914,1270.7081102415643
56,ia2c,32760,-1,-377.95298893907454,281.7149696894619
57,ia2c,33360,-1,-685.4242037413447,1106.4894045285273
58,ia2c,33960,-1,-1701.253083874494,812.5038894136508
