,agent,step,test_id,avg_reward,std_reward
0,ia2c,600,-1,-93.06613421562282,72.4797808400093
1,ia2c,1200,-1,-309.20132164660976,768.0740013416008
2,ia2c,1800,-1,-208.95219272947296,1.793297460377776
3,ia2c,2400,-1,-387.61755513861243,698.0706970037712
4,ia2c,3000,-1,-339.89481546962156,145.00347127223142
5,ia2c,3600,-1,-200.7665331979121,2.842170943040401e-14
6,ia2c,4200,-1,-610.2253330448415,1026.2384976476867
7,ia2c,4800,-1,-218.56759057743733,64.3325059341457
8,ia2c,4980,-1,-320.4979225560981,141.51143470775864
9,ia2c,5580,-1,-441.55093074185874,797.5790014170099
10,ia2c,6180,-1,-674.9203648095393,125.82588857946386
11,ia2c,6780,-1,-104.78395362614864,26.862647256663838
12,ia2c,6960,-1,-603.2862571412975,2.46811451394474
13,ia2c,7560,-1,-696.6302864138105,1146.2945664717092
14,ia2c,8160,-1,-1315.9773040041732,1624.3450421401938
15,ia2c,8760,-1,-1434.7341026454312,1686.020419270469
16,ia2c,8940,-1,-867.7111794711459,968.9339450395184
17,ia2c,9540,-1,-1075.07809395001,1214.5689269498873
18,ia2c,10140,-1,-447.48676042134343,1073.6929272205614
19,ia2c,10740,-1,-1565.9392148172046,1704.5629060193169
20,ia2c,10920,-1,-671.0328285781671,775.3895654195568
21,ia2c,11520,-1,-1205.543127537491,1528.0833504137117
22,ia2c,12120,-1,-800.6803863838703,702.6570007737798
23,ia2c,12720,-1,-859.9206960718644,1433.249545341726
24,ia2c,13320,-1,-48.81699787238587,73.39462692918342
25,ia2c,13920,-1,-13.552976335481915,26.6569274082512
26,ia2c,14520,-1,-419.20379244560087,829.1231036510931
27,ia2c,15120,-1,-30.62436975332533,42.778819296563434
28,ia2c,15720,-1,-46.144796664425414,68.49332768013186
29,ia2c,15960,-1,-902.894767276811,1147.7686307060203
30,ia2c,16560,-1,-14.158228817687714,30.367139263611172
31,ia2c,17160,-1,-73.87745498648367,27.98578200660342
32,ia2c,17760,-1,-98.32541898518136,40.167648811179205
33,ia2c,18360,-1,-37.55177238590179,19.082300367927566
34,ia2c,18960,-1,-130.84113427707564,65.796597636871
35,ia2c,19560,-1,-78.40209120482527,36.120107124409095
36,ia2c,20160,-1,-31.33530041248665,20.508690451729997
37,ia2c,20760,-1,-46.18706619006546,37.429080843700724
38,ia2c,21360,-1,-260.7692412690373,57.41150791682941
39,ia2c,21960,-1,-60.020383046794464,25.036594664045705
40,ia2c,22560,-1,-446.37188022660973,71.75537285098517
41,ia2c,23160,-1,-364.73290639792606,51.99206118335376
42,ia2c,23760,-1,-82.72256464317392,26.825707861232203
43,ia2c,24360,-1,-344.534850996515,59.66804531446954
44,ia2c,24960,-1,-180.0224040225076,56.938678120453424
45,ia2c,25560,-1,-251.0383247742796,50.41668123710587
46,ia2c,26160,-1,-45.80705326271054,26.70291503447776
47,ia2c,26760,-1,-33.74989592582239,15.214847050102243
48,ia2c,27360,-1,-65.32642525330712,32.69220303016611
49,ia2c,27960,-1,-35.79712682291834,25.195773428658615
50,ia2c,28560,-1,-135.27248102139964,37.31204454482493
51,ia2c,29160,-1,-47.24675446634127,26.815865382755703
52,ia2c,29760,-1,-83.99875668855645,49.062896086437895
53,ia2c,30360,-1,-89.52464448680709,161.32861745556036
54,ia2c,30960,-1,-230.68971872925866,71.63320348404949
55,ia2c,31560,-1,-48.2311611260331,27.097035507356065
56,ia2c,32160,-1,-31.199069994836343,24.965881043071406
57,ia2c,32760,-1,-27.420363365218783,25.569498720036965
58,ia2c,33360,-1,-55.73545335892815,145.8078024552857
59,ia2c,33960,-1,-11.306908256060012,30.908609759923984
60,ia2c,34560,-1,-50.925708358014056,127.59433897247568
61,ia2c,35160,-1,-51.41780906329244,133.57371600808165
62,ia2c,35760,-1,-11.717138667571502,32.02896442161805
63,ia2c,36360,-1,-46.52831571728019,120.84058499177016
64,ia2c,36960,-1,-45.74652420799039,120.60074795037755
