,agent,step,test_id,avg_reward,std_reward
0,ia2c,600,-1,-610.108002767328,912.6912812533245
1,ia2c,1200,-1,-2110.084453516563,1502.883063991685
2,ia2c,1800,-1,-1158.9340354473175,1495.7159089228285
3,ia2c,2400,-1,-669.6742454340472,954.2414729571565
4,ia2c,3000,-1,-498.0064026415794,656.6672993589906
5,ia2c,3600,-1,-218.83578381887574,196.2184108738882
6,ia2c,3960,-1,-1120.9376017711995,927.2970098330583
7,ia2c,4560,-1,-260.81039712519305,206.7831019601639
8,ia2c,5160,-1,-489.7036410451599,422.04863039678276
9,ia2c,5760,-1,-677.0626524347375,903.8195813154822
10,ia2c,6060,-1,-1105.2809835587088,1059.0738477820878
11,ia2c,6660,-1,-282.6694141750248,488.2042184912881
12,ia2c,6960,-1,-719.015585448564,660.1444763335171
13,ia2c,7560,-1,-715.5822211310096,1084.8796986775521
14,ia2c,8160,-1,-579.8940611065836,868.0392101986996
15,ia2c,8760,-1,-828.5440606120709,1004.9885678136058
16,ia2c,9060,-1,-1557.376464796211,632.1644463238356
17,ia2c,9660,-1,-1330.8821164922508,1088.6433567119493
18,ia2c,10260,-1,-229.55977727476682,71.2257469025845
19,ia2c,10860,-1,-1276.2848380961727,1278.4487412522585
20,ia2c,11460,-1,-1590.4948390984064,707.1700017647382
21,ia2c,12060,-1,-933.6363807422329,801.9880060166239
22,ia2c,12660,-1,-2529.894998655117,975.6724356473562
23,ia2c,13260,-1,-672.6433297457952,326.3279224922946
24,ia2c,13860,-1,-1073.1596242086532,1233.0446804472006
25,ia2c,14460,-1,-384.0525236818581,129.42724517964228
26,ia2c,15060,-1,-746.9139197618039,533.867164152961
27,ia2c,15660,-1,-885.4523137671325,1225.52152588001
28,ia2c,16260,-1,-879.5247513662224,1082.0735864355645
29,ia2c,16620,-1,-2286.914442934973,1010.8199915270835
30,ia2c,17220,-1,-496.8912950217595,166.70685717714943
31,ia2c,17820,-1,-580.2791762853398,674.3022164648555
32,ia2c,18420,-1,-1108.6162555138735,1249.9603647834251
33,ia2c,19020,-1,-405.35755421350154,136.3577637455659
34,ia2c,19620,-1,-1028.1546568878193,960.39198114251
35,ia2c,20220,-1,-962.5271553760464,1144.159078800616
36,ia2c,20820,-1,-391.14718950126087,131.12570895306652
37,ia2c,21420,-1,-944.1130226303246,1245.8161388842825
38,ia2c,22020,-1,-1581.0673169619222,1216.636365053327
39,ia2c,22620,-1,-871.6903148187948,1201.9765990770877
40,ia2c,23220,-1,-1816.677171133648,649.8914347674485
41,ia2c,23820,-1,-1550.251246148452,1173.1239836135808
42,ia2c,24420,-1,-657.7955539985737,800.3275015751238
43,ia2c,25020,-1,-1783.3895357843223,1065.9821919176145
44,ia2c,25620,-1,-2074.225722331151,1296.199536239149
45,ia2c,26220,-1,-2073.8087851909067,1295.8904012446649
46,ia2c,26820,-1,-1465.7104315317122,1554.9146056099653
47,ia2c,27420,-1,-380.27782615799214,128.93629198135213
48,ia2c,28020,-1,-686.6177336054594,362.2791778582523
49,ia2c,28620,-1,-1467.4505871701508,1596.4696539801141
50,ia2c,29220,-1,-1201.7932123063179,903.0040923556497
51,ia2c,29820,-1,-1563.0732144224419,1600.1518835591967
52,ia2c,30420,-1,-1202.0275499659206,902.9805841552513
53,ia2c,30720,-1,-2482.085405307366,1021.5535392872438
54,ia2c,31020,-1,-1888.5325564488764,1151.4243982695027
55,ia2c,31320,-1,-1587.3835574502575,1605.2140107808493
56,ia2c,31920,-1,-1438.0231112285048,1592.834082329297
57,ia2c,32520,-1,-1437.0096943746673,1593.4360415746855
58,ia2c,32820,-1,-1779.3306039450845,677.1783359658757
59,ia2c,33120,-1,-1551.1297512327926,1607.5992243369997
60,ia2c,33360,-1,-1752.4602962481292,906.0822582369386
61,ia2c,33600,-1,-1741.1425914663898,818.5681921222067
62,ia2c,33780,-1,-1582.8264912099241,1608.0885620086626
63,ia2c,34020,-1,-1766.8211117542562,973.8709714126303
64,ia2c,34200,-1,-1776.9998572926554,988.2243000070001
65,ia2c,34500,-1,-1853.3057561122848,627.1254386361303
66,ia2c,34680,-1,-1405.6545152847339,1590.4689663817328
67,ia2c,34800,-1,-1561.5578227234005,1039.6397640499674
68,ia2c,34980,-1,-2138.9468471458267,1332.472259123469
69,ia2c,35220,-1,-1867.903484135965,615.9810046347079
70,ia2c,35460,-1,-2497.4106727419003,1013.1193277148972
71,ia2c,35640,-1,-1523.8420122696964,990.4431213786335
72,ia2c,35760,-1,-980.2229664481677,742.1636979803856
73,ia2c,36000,-1,-1408.926777450015,1588.550812667569
74,ia2c,36240,-1,-1750.4968745867689,764.2965521913047
75,ia2c,36420,-1,-996.4361166777746,741.6088802161175
76,ia2c,36540,-1,-1141.8611125910722,869.2872652968889
77,ia2c,36720,-1,-922.0439906644807,689.3409884720079
78,ia2c,36900,-1,-2074.214942955213,1295.8620721220984
79,ia2c,37140,-1,-1288.4583559270156,1569.0258259584566
80,ia2c,37320,-1,-1560.3826494005195,1601.827482684297
81,ia2c,37440,-1,-1449.407226958347,1002.8523850031671
82,ia2c,37620,-1,-1142.833497176923,869.2026047718219
83,ia2c,37800,-1,-1442.263851946271,878.6640078994496
84,ia2c,37920,-1,-1266.651692132546,502.6483458125619
85,ia2c,38160,-1,-1798.1462932947636,663.0368809857289
86,ia2c,38400,-1,-1341.964823387845,1583.6062934111994
87,ia2c,38520,-1,-1346.8372073978928,702.5800122506046
88,ia2c,38640,-1,-1502.7272905285688,964.5426479799612
89,ia2c,38820,-1,-1775.0250655427672,989.0289137009305
90,ia2c,39060,-1,-1761.934181979463,957.318873934377
91,ia2c,39300,-1,-2558.4946277359063,994.5739773249039
92,ia2c,39480,-1,-1855.4636199891463,1116.0799988552048
93,ia2c,39660,-1,-2047.451679902135,1279.8480595813055
94,ia2c,39960,-1,-2493.372602924412,1013.774946093889
95,ia2c,40140,-1,-1761.2027978682709,1590.7498491017548
96,ia2c,40380,-1,-2447.3690203153574,1034.6143852929897
97,ia2c,40500,-1,-1348.2399632849053,956.279066679838
98,ia2c,40680,-1,-1461.559136682075,1600.0163568037399
99,ia2c,40800,-1,-1431.097642924376,1596.950205839402
100,ia2c,40980,-1,-685.1768597661884,362.07167341474917
101,ia2c,41220,-1,-1283.7695288525063,1571.6203467717653
102,ia2c,41400,-1,-1233.6718050358688,1553.3210418869087
103,ia2c,41580,-1,-1048.231179068228,788.4216341891133
104,ia2c,41700,-1,-1148.641070249715,868.7057612241118
105,ia2c,41820,-1,-1424.7473462090622,848.0494666806686
106,ia2c,41940,-1,-1510.291003843812,1021.4107620783229
107,ia2c,42240,-1,-1837.8858823731903,638.857635835841
108,ia2c,42360,-1,-1341.300516296333,957.2203241813324
109,ia2c,42540,-1,-1985.0556556183735,1235.8910240766163
110,ia2c,42720,-1,-1032.7075966593873,789.2593013500632
111,ia2c,43320,-1,-1228.8097184938438,1555.9251877509992
112,ia2c,43500,-1,-1370.4073413035744,1589.2615903446344
113,ia2c,44100,-1,-1320.3720720621718,1573.6394030852287
114,ia2c,44700,-1,-912.8866864978172,689.5505550139491
115,ia2c,44940,-1,-1866.3130410834358,1128.3086330340261
116,ia2c,45120,-1,-906.8018930460934,689.7145926026865
117,ia2c,45300,-1,-1506.6342062245064,1021.9963706497522
118,ia2c,45540,-1,-1855.7101985370039,1115.5757137566213
119,ia2c,45720,-1,-1731.2751138215667,1591.4249447755567
120,ia2c,46320,-1,-1153.8512085929103,1524.8263522800191
121,ia2c,46500,-1,-1502.6381234560204,964.5296556301086
122,ia2c,47100,-1,-1257.2459235297474,1563.4776253145567
123,ia2c,47700,-1,-1369.5661196285919,1589.7473056787685
124,ia2c,48300,-1,-1419.8722838244912,1603.6826021453883
125,ia2c,48900,-1,-1237.6349037803564,899.6081734040262
126,ia2c,49140,-1,-1747.2836867432536,907.2801372708648
127,ia2c,49740,-1,-1364.8438983045464,1592.5671269402376
128,ia2c,50340,-1,-1380.4640784134501,1517.1205438808645
129,ia2c,50940,-1,-1855.9860968048781,1115.131577486399
130,ia2c,51540,-1,-741.2016400061007,472.56087369527194
131,ia2c,52140,-1,-864.8965475944657,628.9051023675543
132,ia2c,52440,-1,-2542.529685942842,996.2216739316431
133,ia2c,53040,-1,-1688.9747340747854,1599.6876040910477
134,ia2c,53640,-1,-1523.680085748074,1604.1655716184948
135,ia2c,54240,-1,-1166.4369400022936,867.2797555716863
136,ia2c,54540,-1,-1757.847858911721,728.5371222725307
137,ia2c,55140,-1,-1561.0830296460522,1621.69309990926
138,ia2c,55740,-1,-1306.297233139995,611.8220491736779
139,ia2c,56340,-1,-820.8249156978602,558.8823795940922
140,ia2c,56940,-1,-748.6561437822544,473.10104364203454
141,ia2c,57540,-1,-1900.0853274111487,1163.6263495259784
142,ia2c,58140,-1,-937.126919565238,689.0913536707695
143,ia2c,58740,-1,-1867.8006162486918,1127.3866799200036
144,ia2c,58920,-1,-1470.864046980261,1059.2187825590051
145,ia2c,59520,-1,-1603.411648994348,947.1080412144385
146,ia2c,60120,-1,-2221.8983314628026,1553.401835293101
147,ia2c,60720,-1,-1825.7172839861896,1533.3258053298043
148,ia2c,61320,-1,-1835.7412693602441,922.7194453065721
149,ia2c,61680,-1,-1750.5714180374268,739.7602260506469
150,ia2c,62280,-1,-1563.1692062628804,1489.184320815007
151,ia2c,62580,-1,-2297.227446605641,973.6295494800863
152,ia2c,62880,-1,-1735.7413043398944,681.692390634012
153,ia2c,63480,-1,-1928.4653725046717,1285.0028779437087
154,ia2c,63780,-1,-2074.199860712609,1191.6518264298036
155,ia2c,64380,-1,-2217.6970719887768,1556.6213811384007
156,ia2c,64980,-1,-880.1096105219198,1188.306720334732
157,ia2c,65580,-1,-2334.026191210297,1507.6357107586832
158,ia2c,66180,-1,-1647.3579221874581,1501.2990993622584
159,ia2c,66780,-1,-2433.493260204504,1535.4272279989082
160,ia2c,67080,-1,-2292.847636490573,967.0611570930079
161,ia2c,67680,-1,-1641.2592974294678,1504.4997039659804
